model,dimension,group,hit_rate,pval,n,flagged,flag_reason
pca_base,ticker,USO,0.5072933549432739,0.7474308886280547,617,False,
pca_base,ticker,XLB,0.473257698541329,0.19761161788168788,617,False,
pca_base,ticker,XLC,0.5542949756888168,0.00783163781196742,617,False,
pca_base,ticker,XLE,0.5364667747163695,0.07641360191738696,617,False,
pca_base,ticker,XLF,0.6094003241491086,6.112800781142919e-08,617,False,
pca_base,ticker,XLI,0.5056726094003241,0.809152033862599,617,False,
pca_base,ticker,XLK,0.4813614262560778,0.37580044806952206,617,False,
pca_base,ticker,XLP,0.4051863857374392,2.8232087098593446e-06,617,True,hit_rate < 0.45
pca_base,ticker,XLRE,0.5251215559157212,0.2271130145780332,617,False,
pca_base,ticker,XLU,0.5186385737439222,0.37580044806952206,617,False,
pca_base,ticker,XLV,0.39546191247974066,2.326526049782559e-07,617,True,hit_rate < 0.45
pca_base,ticker,XLY,0.5883306320907618,1.3092784507953714e-05,617,False,
pca_base,regime,crisis,0.49222546161321673,0.49439920191328185,2058,False,
pca_base,regime,neutral,0.5148956134177809,0.05361856624184848,4263,False,
pca_base,regime,risk_off,0.5155555555555555,0.22646470896412885,1575,False,
pca_base,regime,risk_on,0.5056663644605621,0.46070213760525125,4412,False,
pca_regime,year,2023,0.5142857142857142,0.42745971502266367,840,False,
pca_regime,year,2024,0.526832955404384,9.978756835767226e-05,5292,False,
pca_regime,year,2025,0.5544761904761905,3.0651551293275008e-15,5250,False,
pca_regime,year,2026,0.4115409004438808,2.243279318169596e-12,1577,True,hit_rate < 0.45
pca_regime,ticker,DBA,0.44408427876823336,0.006144135863105765,617,True,hit_rate < 0.45
pca_regime,ticker,GLD,0.49108589951377635,0.6872872806519001,617,False,
pca_regime,ticker,HYG,0.3760129659643436,7.743793165308946e-10,617,True,hit_rate < 0.45
pca_regime,ticker,IEF,0.5105348460291734,0.6290590742036524,617,False,
pca_regime,ticker,IWM,0.6175040518638574,5.77073887124545e-09,617,False,
pca_regime,ticker,LQD,0.5153970826580226,0.46869377309907756,617,False,
pca_regime,ticker,QQQ,0.5640194489465153,0.0016668889765625503,617,False,
pca_regime,ticker,SPY,0.531502423263328,0.1266061684091033,619,False,
pca_regime,ticker,TLT,0.5494327390599676,0.015645091073112252,617,False,
pca_regime,ticker,USO,0.49756888168557534,0.9358347140220986,617,False,
pca_regime,ticker,XLB,0.5283630470016207,0.17101497409083055,617,False,
pca_regime,ticker,XLC,0.5591572123176661,0.0037135392446143757,617,False,
pca_regime,ticker,XLE,0.5640194489465153,0.0016668889765625503,617,False,
pca_regime,ticker,XLF,0.6175040518638574,5.77073887124545e-09,617,False,
pca_regime,ticker,XLI,0.5380875202593193,0.06395423790479676,617,False,
pca_regime,ticker,XLK,0.46353322528363045,0.07641360191738696,617,False,
pca_regime,ticker,XLP,0.4878444084278768,0.5730490851439073,617,False,
pca_regime,ticker,XLRE,0.5186385737439222,0.37580044806952206,617,False,
pca_regime,ticker,XLU,0.546191247974068,0.02408807527767752,617,False,
pca_regime,ticker,XLV,0.4813614262560778,0.37580044806952206,617,False,
pca_regime,ticker,XLY,0.5850891410048622,2.7127831555227718e-05,617,False,
pca_regime,regime,crisis,0.4849368318756074,0.17872618663855244,2058,False,
pca_regime,regime,neutral,0.5306122448979592,6.79676267025349e-05,4263,False,
pca_regime,regime,risk_off,0.540952380952381,0.0012513692003756675,1575,False,
pca_regime,regime,risk_on,0.5349048050770625,3.7698855392158797e-06,4412,False,
